formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
5,"G[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005401419940,0.000000270071,0.270071,general,4400
5,"G[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005425064280,0.000000271253,0.271253,general,4500
5,"G[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005378319140,0.000000268916,0.268916,general,4600
5,"G[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005393353340,0.000000269668,0.269668,general,4700
5,"G[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005364614880,0.000000268231,0.268231,general,4800
5,"G[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005370454040,0.000000268523,0.268523,general,4900
5,"G[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005402479200,0.000000270124,0.270124,general,5000
6,"F[0,1] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.002596090800,0.000000129805,0.129805,general,1
6,"F[0,100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004036887560,0.000000201844,0.201844,general,100
6,"F[0,200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004537414980,0.000000226871,0.226871,general,200
6,"F[0,300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004641125040,0.000000232056,0.232056,general,300
6,"F[0,400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004733790020,0.000000236690,0.236690,general,400
6,"F[0,500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004860361000,0.000000243018,0.243018,general,500
6,"F[0,600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004907463240,0.000000245373,0.245373,general,600
6,"F[0,700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005007319940,0.000000250366,0.250366,general,700
6,"F[0,800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005029951620,0.000000251498,0.251498,general,800
6,"F[0,900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005068375760,0.000000253419,0.253419,general,900
6,"F[0,1000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005063935840,0.000000253197,0.253197,general,1000
6,"F[0,1100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005093161640,0.000000254658,0.254658,general,1100
6,"F[0,1200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005117695820,0.000000255885,0.255885,general,1200
6,"F[0,1300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005080181700,0.000000254009,0.254009,general,1300
6,"F[0,1400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005074282520,0.000000253714,0.253714,general,1400
6,"F[0,1500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005134290820,0.000000256715,0.256715,general,1500
6,"F[0,1600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005079070020,0.000000253954,0.253954,general,1600
6,"F[0,1700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005102500720,0.000000255125,0.255125,general,1700
6,"F[0,1800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005109400000,0.000000255470,0.255470,general,1800
6,"F[0,1900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005087578340,0.000000254379,0.254379,general,1900
6,"F[0,2000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005127771700,0.000000256389,0.256389,general,2000
6,"F[0,2100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005100744960,0.000000255037,0.255037,general,2100
6,"F[0,2200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005036466760,0.000000251823,0.251823,general,2200
6,"F[0,2300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005085375760,0.000000254269,0.254269,general,2300
6,"F[0,2400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005061594160,0.000000253080,0.253080,general,2400
6,"F[0,2500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005081182500,0.000000254059,0.254059,general,2500
6,"F[0,2600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005062624180,0.000000253131,0.253131,general,2600
6,"F[0,2700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005072920840,0.000000253646,0.253646,general,2700
6,"F[0,2800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005075334960,0.000000253767,0.253767,general,2800
6,"F[0,2900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005034452580,0.000000251723,0.251723,general,2900
6,"F[0,3000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005043795760,0.000000252190,0.252190,general,3000
6,"F[0,3100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005056565860,0.000000252828,0.252828,general,3100
6,"F[0,3200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005040528360,0.000000252026,0.252026,general,3200
6,"F[0,3300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005065860840,0.000000253293,0.253293,general,3300
6,"F[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005011586620,0.000000250579,0.250579,general,3400
6,"F[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005029332500,0.000000251467,0.251467,general,3500
6,"F[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005005976680,0.000000250299,0.250299,general,3600
6,"F[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004978659120,0.000000248933,0.248933,general,3700
6,"F[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005004798340,0.000000250240,0.250240,general,3800
6,"F[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004984987440,0.000000249249,0.249249,general,3900
6,"F[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004997631580,0.000000249882,0.249882,general,4000
6,"F[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004988635820,0.000000249432,0.249432,general,4100
6,"F[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004951897480,0.000000247595,0.247595,general,4200
6,"F[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005038750840,0.000000251938,0.251938,general,4300
6,"F[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004994566600,0.000000249728,0.249728,general,4400
6,"F[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005005333380,0.000000250267,0.250267,general,4500
6,"F[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005106512540,0.000000255326,0.255326,general,4600
6,"F[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005031002520,0.000000251550,0.251550,general,4700
6,"F[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005006321540,0.000000250316,0.250316,general,4800
6,"F[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005038877480,0.000000251944,0.251944,general,4900
6,"F[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004987961660,0.000000249398,0.249398,general,5000
1,(x < 0.5) and (x > -0.5),DelayedQualitative,Incremental,online,20000,50,0.003276279140,0.000000163814,0.163814,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQualitative,Incremental,online,20000,50,0.007042301680,0.000000352115,0.352115,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQualitative,Incremental,online,20000,50,0.006878969960,0.000000343948,0.343948,general,100
4,"(x < 0.0) U[0,1] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005927172580,0.000000296359,0.296359,general,1
4,"(x < 0.0) U[0,100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.029751115900,0.000001487556,1.487556,general,100
4,"(x < 0.0) U[0,200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.050318846640,0.000002515942,2.515942,general,200
4,"(x < 0.0) U[0,300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.070752545040,0.000003537627,3.537627,general,300
4,"(x < 0.0) U[0,400] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.090959524180,0.000004547976,4.547976,general,400
4,"(x < 0.0) U[0,500] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.109233314160,0.000005461666,5.461666,general,500
4,"(x < 0.0) U[0,600] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.136916136740,0.000006845807,6.845807,general,600
4,"(x < 0.0) U[0,700] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.158143659120,0.000007907183,7.907183,general,700
4,"(x < 0.0) U[0,800] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.179555850880,0.000008977793,8.977793,general,800
4,"(x < 0.0) U[0,900] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.198406449240,0.000009920322,9.920322,general,900
4,"(x < 0.0) U[0,1000] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.216067561640,0.000010803378,10.803378,general,1000
4,"(x < 0.0) U[0,1100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.238582359180,0.000011929118,11.929118,general,1100
4,"(x < 0.0) U[0,1200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.257943846740,0.000012897192,12.897192,general,1200
4,"(x < 0.0) U[0,1300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.276081555880,0.000013804078,13.804078,general,1300
