formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
6,"F[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0062196766799934265,3.1098383399967133e-07,0.31098383399967133,200.0
6,"F[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0061379792800062205,3.0689896400031105e-07,0.306898964000311,300.0
6,"F[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006386918340003831,3.1934591700019156e-07,0.31934591700019155,400.0
6,"F[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0065385591399899565,3.2692795699949785e-07,0.32692795699949784,500.0
6,"F[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006476493340005618,3.238246670002809e-07,0.3238246670002809,600.0
6,"F[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006663306699974783,3.3316533499873917e-07,0.3331653349987392,700.0
6,"F[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00651707239998359,3.258536199991795e-07,0.3258536199991795,800.0
6,"F[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006817110780016265,3.408555390008132e-07,0.3408555390008132,900.0
6,"F[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006492522479984473,3.246261239992236e-07,0.32462612399922364,1000.0
6,"F[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006875844159985718,3.437922079992859e-07,0.3437922079992859,1100.0
6,"F[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006426528319989302,3.213264159994651e-07,0.3213264159994651,1200.0
6,"F[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006955034220018206,3.477517110009103e-07,0.3477517110009103,1300.0
6,"F[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0065920383199818385,3.2960191599909193e-07,0.32960191599909194,1400.0
6,"F[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006911888239988002,3.455944119994001e-07,0.3455944119994001,1500.0
6,"F[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006474801680010387,3.2374008400051934e-07,0.32374008400051935,1600.0
6,"F[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006831463339999573,3.4157316699997867e-07,0.3415731669999787,1700.0
6,"F[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007092140819977431,3.546070409988715e-07,0.3546070409988715,1800.0
6,"F[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007136816699999144,3.568408349999572e-07,0.35684083499995717,1900.0
6,"F[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0070354858800192235,3.5177429400096116e-07,0.35177429400096116,2000.0
6,"F[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0070321216999718675,3.516060849985934e-07,0.3516060849985934,2100.0
6,"F[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0070909400200025625,3.5454700100012815e-07,0.35454700100012815,2200.0
6,"F[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007022891659999004,3.511445829999502e-07,0.3511445829999502,2300.0
6,"F[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006975769159994343,3.4878845799971715e-07,0.34878845799971714,2400.0
6,"F[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007115008300020236,3.557504150010118e-07,0.3557504150010118,2500.0
6,"F[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007039609179987565,3.5198045899937825e-07,0.35198045899937824,2600.0
6,"F[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007027900820007744,3.513950410003872e-07,0.3513950410003872,2700.0
6,"F[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007009233259977919,3.504616629988959e-07,0.3504616629988959,2800.0
6,"F[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007029999220017089,3.5149996100085445e-07,0.35149996100085446,2900.0
6,"F[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007046218420005062,3.523109210002531e-07,0.35231092100025313,3000.0
6,"F[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006970050840000113,3.4850254200000565e-07,0.34850254200000563,3100.0
6,"F[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00701247084001352,3.50623542000676e-07,0.350623542000676,3200.0
6,"F[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0069828175199972975,3.4914087599986486e-07,0.3491408759998649,3300.0
6,"F[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0067057774600016275,3.352888730000814e-07,0.33528887300008137,3400.0
6,"F[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006582238300002246,3.291119150001123e-07,0.32911191500011233,3500.0
6,"F[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006650329979984235,3.3251649899921175e-07,0.33251649899921176,3600.0
6,"F[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0065429583200011625,3.271479160000581e-07,0.3271479160000581,3700.0
6,"F[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006634028260004925,3.3170141300024625e-07,0.33170141300024625,3800.0
6,"F[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006586575860010271,3.293287930005136e-07,0.3293287930005136,3900.0
6,"F[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0065465999400066725,3.273299970003336e-07,0.3273299970003336,4000.0
6,"F[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006627345920010157,3.3136729600050787e-07,0.33136729600050785,4100.0
6,"F[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0067645274599954066,3.3822637299977035e-07,0.3382263729997704,4200.0
6,"F[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0064731033799944274,3.2365516899972135e-07,0.32365516899972135,4300.0
6,"F[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006520607520014892,3.260303760007446e-07,0.3260303760007446,4400.0
6,"F[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006700185820004662,3.350092910002331e-07,0.3350092910002331,4500.0
